Sl.No.,Poem,Source,Primary
 দিনে দিনে তুমি নিতেছ আমায়
 সে মহাদানেরই যোগ্য করে
 অতি-ইচ্ছার সংকট হতে
 বাঁচায়ে মোরে।
 আমি কখনো-বা ভুলি, কখনো-বা চলি
 তোমার পথের লক্ষ্য ধরে;
 তুমি নিষ্ঠুর সম্মুখ হতে
 যাও সে সরে।
 এ যে তব দয়া জানি জানি হায়,
 নিতে চাও বলে ফিরাও আমায়,
 পূর্ণ করিয়া লবে এ জীবন
 তব মিলনেরই যোগ্য করে
 আধা-ইচ্ছার সংকট হতে
 বাঁচায়ে মোরে।",Bengali,Longing
3269,"আমি হেথায় থাকি শুধু
 
 রবীন্দ্রনাথ ঠাকুর
 
 
 
 আমি হেথায় থাকি শুধু
 গাইতে তোমার গান,
 দিয়ো তোমার জগৎসভায়
 এইটুকু মোর স্থান।
 আমি তোমার ভুবন-মাঝে
 লাগি নি নাথ, কোনো কাজে--
 শুধু কেবল সুরে বাজে
 অকাজের এই প্রাণ।
 
 নিশায় নীরব দেবালয়ে
 তোমার আরাধন,
 তখন মোরে আদেশ কোরো
 গাইতে হে রাজন্‌।
 ভোরে যখন আকাশ জুড়ে
 বাজবে বীণা সোনার সুরে
 আমি যেন না রই দূরে
 এই দিয়ো মোর মান।",Bengali,Melancholy
3270,"আর আমায় আমি নিজের শিরে
 
 রবীন্দ্রনাথ ঠাকুর
 
 
 
 আর আমায় আমি নিজের শিরে
 বইব না।
 আর নিজের দ্বারে কাঙাল হয়ে
 রইব না।
 এই বোঝা তোমার পায়ে ফেলে
 বেড়িয়ে পড়ব অবহেলে--
 কোনো খবর রাখব না ওর,
 কোনো কথাই কইব না।
 আমায় আমি নিজের শিরে
 বইব না।
 
 বাসনা মোর যারেই পরশ
 করে সে,
 আলোটি তার নিবিয়ে ফেলে
 নিমেষে।
 ওরে সেই অশুচি, দুই হাতে তার
 যা এনেছে চাই নে সে আর,
 তোমার প্রেমে বাজবে না যা
 সে আর আমি সইব না
 আমায় আমি নিজের শিরে
 বইব না।",Bengali,Melancholy
3271,"আর নাই রে বেলা
 
 রবীন্দ্রনাথ ঠাকুর
 
 
 
 আর নাই রে বেলা, নামল ছায়া
 ধরণীতে,
 এখন চল্‌ রে ঘাটে কলসখানি
 ভরে নিতে।
 জলধারার কলস্বরে
 সন্ধ্যাগগন আকুল করে,
 ওরে ডাকে আমায় পথের 'পরে
 সেই ধ্বনিতে।
 চল্‌ রে ঘাটে কলসখানি
 ভরে নিতে।
 
 এখন বিজন পথে করে না কেউ
 আসা-যাওয়া,
 ওরে প্রেম-নদীতে উঠেছে ঢেউ,
 উতল হাওয়া।
 জানি নে আর ফিরব কিনা,
 কার সাথে আজ হবে চিনা,
 ঘাটে সেই অজানা বাজায় বীণা
 তরণীতে।
 চল্‌ রে ঘাটে কলসখানি
 ভরে নিতে।",Bengali,Longing
3272,"আরো আঘাত সইবে আমার
 
 রবীন্দ্রনাথ ঠাকুর
 
 
 
 আরো আঘাত সইবে আমার
 সইবে আমারো,
 আরো কঠিন সুরে জীবনতারে ঝংকারো।
 যে রাগ জাগাও আমার প্রাণে
 বাজে নি তা চরমতানে,
 নিঠুর মূর্ছনায় সে গানে
 মূর্তি সঞ্চারো।
 
 লাগে না গো কেবল যেন
 কোমল করুণা,
 মৃদু সুরের খেলায় এ প্রাণ
 ব্যর্থ কোরো না।
 জ্বলে উঠুক সকল হুতাশ,
 গর্জি উঠুক সকল বাতাস,
 জাগিয়ে দিয়ে সকল আকাশ
 পূর্ণতা বিস্তারো।",Bengali,Melancholy
3273,"আলোয় আলোকময় ক'রে হে
 
 রবীন্দ্রনাথ ঠাকুর
 
 
 
 আলোয় আলোকময় ক'রে হে
 এলে আলোর আলো।
 আমার নয়ন হতে আঁধার
 মিলালো মিলালো।
 সকল আকাশ সকল ধরা
 আনন্দে হাসিতে ভরা,
 যে দিক-পানে নয়ন মেলি
 ভালো সবই ভালো।
 
 তোমার আলো গাছের পাতায়
 নাচিয়ে তোলে প্রাণ।
 তোমার আলো পাখির বাসায়
 জাগিয়ে তোলে গান।
 তোমার আলো ভালোবেসে
 পড়েছে মোর গায়ে এসে,
 হৃদয়ে মোর নির্মল হাত
 বুলালো বুলালো।",Bengali,Longing
3274,"আষাঢ়সন্ধ্যা ঘনিয়ে এল
 
 রবীন্দ্রনাথ ঠাকুর
 
 
 
 আষাঢ়সন্ধ্যা ঘনিয়ে এল,
 গেল রে দিন বয়ে।
 বাঁধনহারা বৃষ্টিধারা
 ঝরছে রয়ে রয়ে।
 একলা বসে ঘরের কোণে
 কী ভাবি যে আপন-মনে,
 সজল হাওয়া যূথীর বনে
 কী কথা যায় কয়ে।
 বাঁধনহারা বৃষ্টিধারা
 ঝরছে রয়ে রয়ে।
 
 হৃদয়ে আজ ঢেউ দিয়েছে,
 খুঁজে না পাই কূল;
 সৌরভে প্রাণ কাঁদিয়ে তুলে
 ভিজে বনের ফুল।
 আঁধার রাতে প্রহরগুলি
 কোন্‌ সুরে আজ ভরিয়ে তুলি,
 কোন্‌ ভুলে আজ সকল ভুলি
 আছি আকুল হয়ে।
 বাঁধনহারা বৃষ্টিধারা
 ঝরছে রয়ে রয়ে।",Bengali,Longing
3275,"আসনতলের মাটির 'পরে লুটিয়ে রব
 
 রবীন্দ্রনাথ ঠাকুর
 
 
 
 আসনতলের মাটির 'পরে লুটিয়ে রব।
 তোমার চরণ-ধুলায় ধুলায় ধূসর হব।
 কেন আমায় মান দিয়ে আর দূরে রাখ,
 চিরজনম এমন করে ভুলিয়ো নাকো,
 অসম্মানে আনো টেনে পায়ে তব।
 তোমার চরণ-ধুলায় ধুলায় ধূসর হব।
 
 আমি তোমার যাত্রীদলের রব পিছে,
 স্থান দিয়ো হে আমায় তুমি সবার নীচে।
 প্রসাদ লাগি কত লোকে আসে ধেয়ে,
 আমি কিছুই চাইব না তো রইব চেয়ে;
 সবার শেষে বাকি যা রয় তাহাই লব।
 তোমার চরণ-ধুলায় ধুলায় ধূসর হব।",Bengali,Longing
3276,"উড়িয়ে ধ্বজা অভ্রভেদী রথে
 
 রবীন্দ্রনাথ ঠাকুর
 
 
 উড়িয়ে ধ্বজা অভ্রভেদী রথে
 ওই যে তিনি, ও ই যে বাহির পথে।
 আয় রে ছুটে, টানতে হবে রশি,
 ঘরের কোণে রইলি কোথায় বসি।
 ভিড়ের মধ্যে ঝাঁপিয়ে পড়ে গিয়ে
 ঠাঁই করে তুই নে রে কোনোমতে।
 
 কোথায় কী তোর আছে ঘরের কাজ,
 সে-সব কথা ভুলতে হবে আজ।
 টান্‌ রে দিয়ে সকল চিত্তকায়া,
 টান্‌ রে ছেড়ে তুচ্ছ প্রাণের মায়া,
 চল্‌ রে টেনে আলোর অন্ধকারে
 নগর গ্রামে অরণ্যে পর্বতে।
 
 ওই যে চাকা ঘুরছে ঝনঝনি,
 বুকের মাঝে শুনছ কি সেই ধ্বনি।
 রক্তে তোমার দুলছে না কি প্রাণ।
 গাইছে না মন মরণজয়ী গান?
 আকাঙক্ষা তোর বন্যাবেগের মতো
 ছুটছে নাকি বিপুল ভবিষ্যতে।",Bengali,Longing
3277,"এই করেছ ভালো, নিঠুর
 
 রবীন্দ্রনাথ ঠাকুর
 
 
 এই করেছ ভালো, নিঠুর,
 এই করেছ ভালো।
 এমনি করে হৃদয়ে মোর
 তীব্র দহন জ্বালো।
 আমার এ ধূপ না পোড়ালে
 গন্ধ কিছুই নাহি ঢালে,
 আমার এ দীপ না জ্বালালে
 দেয় না কিছুই আলো।
 
 যখন থাকে অচেতনে
 এ চিত্ত আমার
 আঘাত সে যে পরশ তব
 সেই তো পুরস্কার।
 অন্ধকারে মোহে লাজে
 চোখে তোমায় দেখি না যে,
 বজ্রে তোলো আগুন করে
 আমার যত কালো।",Bengali,Longing
3278,"এই জ্যোৎস্নারাতে জাগে আমার প্রাণ
 
 রবীন্দ্রনাথ ঠাকুর
 
 
 এই জ্যোৎস্নারাতে জাগে আমার প্রাণ;
 পাশে তোমার হবে কি আজ স্থান।
 দেখতে পাব অপূর্ব সেই মুখ,
 রইবে চেয়ে হৃদয় উৎসুক,
 বারে বারে চরণ ঘিরে ঘিরে
 ফিরবে আমার অশ্রুভরা গান?
 
 সাহস করে তোমার পদমূলে
 আপনারে আজ ধরি নাই যে তুলে,
 পড়ে আছি মাটিতে মুখ রেখে,
 ফিরিয়ে পাছে দাও হে আমার দান।
 আপনি যদি আমার হাতে ধরে
 কাছে এসে উঠতে বল মোরে,
 তবে প্রাণের অসীম দরিদ্রতা
 এই নিমেষেই হবে অবসান।",Bengali,Longing
3279,"এই তো তোমার প্রেম
 
 রবীন্দ্রনাথ ঠাকুর
 
 
 
 এই তো তোমার প্রেম,ওগো
 হৃদয়হরণ।
 এই-যে পাতায় আলো নাচে
 সোনার বরন।
 এই-যে মধুর আলসভরে
 মেঘ ভেসে যায় আকাশ-'পরে,
 এই-যে বাতাস দেহে করে
 অমৃত ক্ষরণ।
 এই তো তোমার প্রেম,ওগো
 হৃদয়হরণ।
 
 প্রভাত-আলোর ধারায় আমার
 নয়ন ভেসেছে।
 এই তোমারি প্রেমের বাণী
 প্রাণে এসেছে।
 তোমারি মুখ ওই নুয়েছে,
 মুখে আমার চোখ থুয়েছে,
 আমার হৃদয় আজ ছুঁয়েছে
 তোমারি চরণ।",Bengali,Longing
3280,"এই মলিন বস্ত্র ছাড়তে হবে
 
 রবীন্দ্রনাথ ঠাকুর
 
 
 এই মলিন বস্ত্র ছাড়তে হবে
 হবে গো এইবার--
 আমার এই মলিন অহংকার।
 দিনের কাজে ধুলা লাগি
 অনেক দাগে হল দাগি,
 এমনি তপ্ত হয়ে আছে
 সহ্য করা ভার।
 আমার এই মলিন অহংকার।
 
 এখন তো কাজ সাঙ্গ হল
 দিনের অবসানে,
 হল রে তাঁর আসার সময়
 আশা এল প্রাণে।
 স্নান করে আয় এখন তবে
 প্রেমের বসন পরতে হবে,
 সন্ধ্যাবনের কুসুম তুলে
 গাঁথতে হবে হার।
 ওরে আয় সময় নেই যে আর।",Bengali,Longing
3281,"এই মোর সাধ যেন এ জীবনমাঝে
 
 রবীন্দ্রনাথ ঠাকুর
 
 
 
 এই মোর সাধ যেন এ জীবনমাঝে
 তব আনন্দ মহাসংগীতে বাজে।
 তোমার আকাশ, উদার আলোকধারা,
 দ্বার ছোটো দেখে ফেরে না যেন গো তারা,
 ছয় ঋতু যেন সহজ নৃত্যে আসে
 অন্তরে মোর নিত্য নূতন সাজে।
 
 তব আনন্দ আমার অঙ্গে মনে
 বাধা যেন নাহি পায় কোনো আবরণে।
 তব আনন্দ পরম দুঃখে মম
 জ্বলে উঠে যেন পুণ্য আলোকসম,
 তব আনন্দ দীনতা চূর্ণ করি'
 ফুটে উঠে ফেটে আমার সকল কাজে।",Bengali,Longing
3282,"একটি একটি করে তোমার
 
 রবীন্দ্রনাথ ঠাকুর
 
 
 একটি একটি করে তোমার
 পুরানো তার খোলো,
 সেতারখানি নূতন বেঁধে তোলো।
 ভেঙে গেছে দিনের মেলা,
 বসবে সভা সন্ধ্যাবেলা,
 শেষের সুর যে বাজাবে তার
 আসার সময় হল--
 সেতারখানি নূতন বেঁধে তোলো।
 
 দুয়ার তোমার খুলে দাও গো
 আঁধার আকাশ-'পরে,
 সপ্তলোকের নীরবতা
 আসুক তোমার ঘরে।
 এতদিন যে গেয়েছ গান
 আজকে তারি হোক অবসান,
 এ যন্ত্র যে তোমার যন্ত্র
 সেই কথাটাই ভোলো।
 সেতারখানি নূতন বেঁধে তোলো।",Bengali,Longing
3283,"একটি নমস্কারে, প্রভু
 
 রবীন্দ্রনাথ ঠাকুর
 
 
 
 একটি নমস্কারে, প্রভু,
 একটি নমস্কারে
 সকল দেহ লুটিয়ে পড়ুক
 তোমার এ সংসারে।
 
 ঘন শ্রাবণ-মেঘের মতো
 রসের ভারে নম্র নত
 একটি নমস্কারে, প্রভু,
 একটি নমস্কারে
 সমস্ত মন পড়িয়া থাক্‌
 তব ভবন-দ্বারে।
 
 নানা সুরের আকুল ধারা
 মিলিয়ে দিয়ে আত্মহারা
 একটি নমস্কারে, প্রভু,
 একটি নমস্কারে
 সমস্ত গান সমাপ্ত হোক
 নীরব পারাবারে।
 
 হংস যেমন মানসযাত্রী,
 তেমনি সারা দিবসরাত্রি
 একটি নমস্কারে, প্রভু,
 একটি নমস্কারে
 সমস্ত প্রাণ উড়ে চলুক
 মহামরণ-পারে।",Bengali,Longing
3284,"একলা আমি বাহির হলেম
 
 রবীন্দ্রনাথ ঠাকুর
 
 
 
 একলা আমি বাহির হলেম
 তোমার অভিসারে,
 সাথে সাথে কে চলে মোর
 নীরব অন্ধকারে।
 ছাড়াতে চাই অনেক করে
 ঘুরে চলি, যাই যে সরে,
 মনে করি আপদ গেছে,
 আবার দেখি তারে।
 
 ধরণী সে কাঁপিয়ে চলে--
 বিষম চঞ্চলতা।
 সকল কথার মধ্যে সে চায়
 কইতে আপন কথা।
 সে যে আমার আমি, প্রভু,
 লজ্জা তাহার নাই যে কভু,
 তারে নিয়ে কোন্‌ লাজে বা
 যাব তোমার দ্বারে।",Bengali,Melancholy
3285,"একা আমি ফিরব না আর
 
 রবীন্দ্রনাথ ঠাকুর
 
 
 
 একা আমি ফিরব না আর
 এমন করে--
 নিজের মনে কোণে কোণে
 মোহের ঘোরে।
 
 তোমায় একলা বাহুর বাঁধন দিয়ে
 ছোটো করে ঘিরতে গিয়ে
 আপনাকে যে বাঁধি কেবল
 আপন ডোরে।
 
 যখন আমি পাব তোমায়
 নিখিলমাঝে
 সেইখনে হৃদয় পাব
 হৃদয়রাজে।
 এই চিত্ত আমার বৃন্ত কেবল
 তারি 'পরে বিশ্বকমল;
 তারি 'পরে পূর্ণ প্রকাশ
 দেখাও মোরে।",Bengali,Longing
3286,"এবার নীরব করে দাও
 
 রবীন্দ্রনাথ ঠাকুর
 
 
 
 এবার নীরব করে দাও হে তোমার
 মুখর কবিরে।
 তার হৃদয়-বাঁশি আপনি কেড়ে
 বাজাও গভীরে।
 নিশীথরাতের নিবিড় সুরে
 বাঁশিতে তান দাও হে পুরে
 যে তান দিয়ে অবাক কর'
 গ্রহশশীরে।
 
 যা-কিছু মোর ছড়িয়ে আছে
 জীবন-মরণে,
 গানের টানে মিলুক এসে
 তোমার চরণে।
 বহুদিনের বাক্যরাশি
 এক নিমেষে যাবে ভাসি,
 একলা বসে শুনব বাঁশি
 অকূল তিমিরে।",Bengali,Melancholy
3287,"এসো হে এসো, সজল ঘন
 
 রবীন্দ্রনাথ ঠাকুর
 
 
 
 এসো হে এসো, সজল ঘন,
 বাদলবরিষনে--
 বিপুল তব শ্যামল স্নেহে
 এসো হে এ জীবনে।
 এসো হে গিরিশিখর চুমি,
 ছায়ায় ঘিরি কাননভূমি--
 গগন ছেয়ে এসো হে তুমি
 গভীর গরজনে।
 
 ব্যথিয়ে উঠে নীপের বন
 পুলকভরা ফুলে।
 উছলি উঠে কলরোদন
 নদীর কূলে কূলে।
 এসো হে এসো হৃদয়ভরা,
 এসো হে এসো পিপাসা-হরা,
 এসো হে আঁখি-শীতল-করা
 ঘনায়ে এসো মনে।",Bengali,Longing
3288,"ওই যে তরী দিল খুলে
 
 রবীন্দ্রনাথ ঠাকুর
 
 
 
 ওই যে তরী দিল খুলে।
 তোর বোঝা কে নেবে তুলে।
 সামনে যখন যাবি ওরে
 থাক্‌ না পিছন পিছে পড়ে,
 পিঠে তারে বইতে গেলি,
 একলা পড়ে রইলি কূলে।
 
 ঘরের বোঝা টেনে টেনে।
 পারের ঘাটে রাখলি এনে,
 তাই যে তোরে বারে বারে
 ফিরতে হল গেলি ভুলে।
 ডাক রে আবার মাঝিরে ডাক,
 বোঝা তোমার যাক ভেসে যাক,
 জীবনখানি উজাড় করে
 সঁপে দে তার চরণমূলে।",Bengali,Melancholy
3289,"ওগো আমার এই জীবনের
 
 রবীন্দ্রনাথ ঠাকুর
 
 
 ওগো আমার এই জীবনের শেষ পরিপূর্ণতা,
 মরণ, আমার মরণ, তুমি কও আমারে কথা।
 সারা জনম তোমার লাগি
 প্রতিদিন যে আছি জাগি,
 তোমার তরে বহে বেড়াই
 দুঃখসুখের ব্যথা।
 মরণ, আমার মরণ, তুমি
 কও আমারে কথা।
 
 যা পেয়েছি, যা হয়েছি
 যা-কিছু মোর আশা।
 না জেনে ধায় তোমার পানে
 সকল ভালোবাসা।
 মিলন হবে তোমার সাথে,
 একটি শুভ দৃষ্টিপাতে,
 জীবনবধূ হবে তোমার
 নিত্য অনুগতা;
 মরণ, আমার মরণ, তুমি
 কও আমারে কথা।
 
 বরণমালা গাঁথা আছে,
 আমার চিত্তমাঝে,
 কবে নীরব হাস্যমুখে
 আসবে বরের সাজে।
 সেদিন আমার রবে না ঘর,
 কেই-বা আপন, কেই-বা অপর,
 বিজন রাতে পতির সাথে
 মিলবে পতিব্রতা।
 মরণ, আমার মরণ, তুমি
 কও আমারে কথা।",Bengali,Longing
3290,"ওগো মৌন, না যদি কও
 
 রবীন্দ্রনাথ ঠাকুর
 
 
 
 ওগো মৌন, না যদি কও
 না-ই কহিলে কথা।
 বক্ষ ভরি বইব আমি
 তোমার নীরবতা।
 স্তব্ধ হয়ে রইব পড়ে,
 রজনী রয় যেমন করে
 জ্বালিয়ে তারা নিমেষহারা
 ধৈর্যে অবনতা।
 
 হবে হবে প্রভাত হবে
 আঁধার যাবে কেটে।
 তোমার বাণী সোনার ধারা
 পড়বে আকাশ ফেটে।
 তখন আমার পাখির বাসায়
 জাগবে কি গান তোমার ভাষায়।
 তোমার তানে ফোটাবে ফুল
 আমার বনলতা?",Bengali,Longing
3291,"ওরে মাঝি, ওরে আমার
 
 রবীন্দ্রনাথ ঠাকুর
 
 
 
 ওরে মাঝি, ওরে আমার
 মানবজন্মতরীর মাঝি,
 শুনতে কি পাস দূরের থেকে
 পারের বাঁশি উঠছে বাজি।
 তরী কি তোর দিনের শেষে
 ঠেকবে এবার ঘাটে এসে।
 সেথায় সন্ধ্যা-অন্ধকারে
 দেয় কি দেখা প্রদীপরাজি।
 
 যেন আমার লাগছে মনে,
 মন্দমধুর এই পবনে
 সিন্ধুপারের হাসিটি কার
 আঁধার বেয়ে আসছে আজি।
 আসার বেলায় কুসুমগুলি
 কিছু এনেছিলেম তুলি,
 যেগুলি তার নবীন আছে
 এইবেলা নে সাজিয়ে সাজি।",Bengali,Longing
3292,"কত অজানারে জানাইলে তুমি
 
 রবীন্দ্রনাথ ঠাকুর
 
 
 
 কত অজানারে জানাইলে তুমি,
 কত ঘরে দিলে ঠাঁই--
 দূরকে করিলে নিকট, বন্ধু,
 পরকে করিলে ভাই।
 পুরানো আবাস ছেড়ে যাই তবে
 মনে ভেবে মরি কী জানি কী হবে,
 নূতনের মাঝে তুমি পুরাতন
 সে কথা যে ভুলে যাই।
 দূরকে করিলে নিকট, বন্ধু,
 পরকে করিলে ভাই।
 
 জীবনে মরণে নিখিল ভুবনে
 যখনি যেখানে লবে,
 চিরজনমের পরিচিত ওহে,
 তুমিই চিনাবে সবে।
 তোমারে জানিলে নাহি কেহ পর,
 নাহি কোনো মানা, নাহি কোনো ডর;
 সবারে মিলায়ে তুমি জাগিতেছ,
 দেখা যেন সদা পাই।
 দূরকে করিলে নিকট, বন্ধু,
 পরকে করিলে ভাই।",Bengali,Melancholy
3293,"কথা ছিল এক-তরীতে
 
 রবীন্দ্রনাথ ঠাকুর
 
 
 
 কথা ছিল এক-তরীতে কেবল তুমি আমি
 যাব অকারণে ভেসে কেবল ভেসে,
 ত্রিভুবনে জানবে না কেউ আমরা তীর্থগামী
 কোথায় যেতেছি কোন্‌ দেশে সে কোন্‌ দেশে।
 কূলহারা সেই সমুদ্র-মাঝখানে
 শোনাব গান একলা তোমার কানে,
 ঢেউয়ের মতন ভাষা-বাঁধন-হারা
 আমার সেই রাগিণী শুনবে নীরব হেসে।
 
 আজো সময় হয় নি কি তার, কাজ কি আছে বাকি।
 ওগো ওই-যে সন্ধ্যা নামে সাগরতীরে।
 মলিন আলোয় পাখা মেলে সিন্ধুপারের পাখি
 আপন কুলায়-মাঝে সবাই এল ফিরে।
 কখন তুমি আসবে ঘাটের 'পরে
 বাঁধনটুকু কেটে দেবার তরে।
 অস্তরবির শেষ আলোটির মতো
 তরী নিশীথমাঝে যাবে নিরুদ্দেশে।",Bengali,Longing
3294,"কবে আমি বাহির হলেম
 
 রবীন্দ্রনাথ ঠাকুর
 
 
 কবে আমি বাহির হলেম তোমারি গান গেয়ে--
 সে তো আজকে নয় সে আজকে নয়।
 ভুলে গেছি কবে থকে আসছি তোমায় চেয়ে
 সে তো আজকে নয় সে আজকে নয়।
 
 ঝরনা যেমন বাহিরে যায়,
 জানে না সে কাহারে চায়,
 তেমনি করে ধেয়ে এলেম
 জীবনধারা বেয়ে--
 সে তো আজকে নয় সে আজকে নয়।
 
 কতই নামে ডেকেছি যে,
 কতই ছবি এঁকেছি যে,
 কোন্‌ আনন্দে চলেছি, তার
 ঠিকানা না পেয়ে--
 সে তো আজকে নয় সে আজকে নয়।
 
 পুষ্প যেমন আলোর লাগি
 না জেনে রাত কাটায় জাগি,
 তেমনি তোমার আশায় আমার
 হৃদায় আছে ছেয়ে--
 সে তো আজকে নয় সে আজকে নয়।",Bengali,Melancholy
3295,"কে বলে সব ফেলে যাবি
 
 রবীন্দ্রনাথ ঠাকুর
 
 
 
 কে বলে সব ফেলে যাবি
 মরণ হাতে ধরবে যবে।
 জীবনে তুই যা নিয়েছিস
 মরণে সব নিতে হবে।
 এই ভরা ভাণ্ডারে এসে
 শূন্য কি তুই যাবি শেষে।
 নেবার মতো যা আছে তোর
 ভালো করে নেই তুই তবে।
 
 আবর্জনার অনেক বোঝা
 জমিয়েছিস যে নিরবধি,
 বেঁচে যাবি, যাবার বেলা
 ক্ষয় করে সব যাস রে যদি।
 এসেছি এই পৃথিবীতে,
 হেথায় হবে সেজে নিতে,
 রাজার বেশে চল্‌ রে হেসে
 মৃত্যুপারের সে উৎসবে।",Bengali,Longing
3296,"কোথায় আলো
 
 রবীন্দ্রনাথ ঠাকুর
 
 
 কোথায় আলো, কোথায় ওরে আলো।
 বিরহানলে জ্বালো রে তারে জ্বালো।
 রয়েছে দীপ না আছে শিখা,
 এই কি ভালে ছিল রে লিখা--
 ইহার চেয়ে মরণ সে যে ভালো।
 বিরহানলে প্রদীপখানি জ্বালো।
 
 বেদনাদূতী গাহিছে, ""ওরে প্রাণ,
 তোমার লাগি জাগেন ভগবান।
 নিশীথে ঘন অন্ধকারে
 ডাকেন তোরে প্রেমাভিসারে,
 দুঃখ দিয়ে রাখেন তোর মান।
 তোমার লাগি জাগেন ভগবান।'
 
 গগনতল গিয়েছে মেঘে ভরি,
 বাদল-জল পড়িছে ঝরি ঝরি।
 এ ঘোর রাতে কিসের লাগি
 পরান মম সহসা জাগি
 এমন কেন করিছে মরি মরি।
 বাদল-জল পড়িছে ঝরি ঝরি।
 
 বিজুলি শুধু ক্ষণিক আভা হানে,
 নিবিড়তর তিমির চোখে আনে।
 জানি না কোথা অনেক দূরে
 বাজিল প্রাণ গভীর সুরে,
 সকল গান টানিছে পথপানে।
 নিবিড়তর তিমির চোখে আনে।
 
 কোথায় আলো, কোথায় ওরে আলো।
 বিরহানলে জ্বালো রে তারে জ্বালো।
 ডাকিছে মেঘ, হাঁকিছে হাওয়া,
 সময় গেলে হবে না যাওয়া,
 নিবিড় নিশা নিকষঘন কালো।
 পরান দিয়ে প্রেমের দীপ জ্বালো।",Bengali,Melancholy
3297,"কোন্‌ আলোতে প্রাণের প্রদীপ
 
 রবীন্দ্রনাথ ঠাকুর
 
 
 
 কোন্‌ আলোতে প্রাণের প্রদীপ
 জ্বালিয়ে তুমি ধরায় আস।
 সাধক ওগো, প্রেমিক ওগো,
 পাগল ওগো, ধরায় আস।
 
 এই অকুল সংসারে
 দুঃখ-আঘাত তোমার প্রাণে বীণা ঝংকারে।
 ঘোরবিপদ-মাঝে
 কোন্‌ জননীর মুখের হাসি দেখিয়া হাস।
 
 তুমি কাহার সন্ধানে
 সকল সুখে আগুন জ্বেলে বেড়াও কে জানে।
 এমন ব্যাকুল করে
 কে তোমারে কাঁদায় যারে ভালোবাস।
 
 তোমার ভাবনা কিছু নাই--
 কে যে তোমার সাথের সাথি ভাবি মনে তাই।
 তুমি মরণ ভুলে
 কোন্‌ অনন্ত প্রাণসাগরে আনন্দে ভাস।",Bengali,Longing
3298,"গর্ব করে নিই নে ও নাম
 
 রবীন্দ্রনাথ ঠাকুর
 
 
 
 গর্ব করে নিই নে ও নাম, জান অন্তর্যামী,
 আমার মুখে তোমার নাম কি সাজে।
 যখন সবাই উপহাসে তখন ভাবি আমি
 আমার কণ্ঠে তোমার নাম কি বাজে।
 তোমা হতে অনেক দূরে থাকি
 সে যেন মোর জানতে না রয় বাকি,
 নামগানের এই ছদ্মবেশে দিই পরিচয় পাছে
 মনে মনে মরি যে সেই লাজে।
 
 অহংকারের মিথ্যা হতে বাঁচাও দয়া করে
 রাখো আমায় যেথা আমার স্থান।
 আর-সকলের দৃষ্টি হতে সরিয়ে দিয়ে মোরে
 করো তোমার নত নয়ন দান।
 আমার পূজা দয়া পাবার তরে,
 মান যেন সে না পায় করো ঘরে,
 নিত্য তোমায় ডাকি আমি ধুলার 'পরে বসে
 নিত্যনূতন অপরাধের মাঝে।",Bengali,Longing
3299,"গান গাওয়ালে আমায় তুমি
 
 রবীন্দ্রনাথ ঠাকুর
 
 
 
 গান গাওয়ালে আমায় তুমি
 কতই ছলে যে,
 কত সুখের খেলায়, কত
 নয়নজলে হে।
 ধরা দিয়ে দাও না ধরা,
 এস কাছে, পালাও ত্বরা,
 পরান কর ব্যথায় ভরা
 পলে পলে হে।
 গান গাওয়ালে এমনি করে
 কতই ছলে যে।
 
 কত তীব্র তারে, তোমার
 বীণা সাজাও যে,
 শত ছিদ্র করে জীবন
 বাঁশি বাজাও হে।
 তব সুরের লীলাতে মোর
 জনম যদি হয়েছে ভোর,
 চুপ করিয়ে রাখো এবার
 চরণতলে হে,
 গান গাওয়ালে চিরজীবন
 কতই ছলে যে।",Bengali,Longing
3300,"গান দিয়ে যে তোমায় খুঁজি
 
 রবীন্দ্রনাথ ঠাকুর
 
 
 
 গান দিয়ে যে তোমায় খুঁজি
 বাহির মনে
 চিরদিবস মোর জীবনে।
 নিয়ে গেছে গান আমারে
 ঘরে ঘরে দ্বারে দ্বারে,
 গান দিয়ে হাত বুলিয়ে বেড়াই
 এই ভুবনে।
 
 কত শেখা সেই শেখালো,
 কত গোপন পথ দেখালো,
 চিনিয়ে দিল কত তারা
 হৃদ্‌গগনে।
 বিচিত্র সুখদুখের দেশে
 রহস্যলোক ঘুরিয়ে শেষে
 সন্ধ্যাবেলায় নিয়ে এল
 কোন্‌ ভবনে।",Bengali,Melancholy
3301,"গাবার মতো হয় নি কোনো গান
 
 রবীন্দ্রনাথ ঠাকুর
 
 
 গাবার মতো হয় নি কোনো গান,
 দেবার মতো হয় নি কিছু দান।
 মনে যে হয় সবি রইল বাকি
 তোমায় শুধু দিয়ে এলেম ফাঁকি,
 কবে হবে জীবন পূর্ণ করে
 এই জীবনের পূজা অবসান।
 
 আর-সকলের সেবা করি যত
 প্রাণপণে দিই অর্ঘ্য ভরি ভরি।
 সত্য মিথ্যা সাজিয়ে দিই যে কত
 দীন বলিয়া পাছে ধরা পড়ি।
 তোমার কাছে গোপন কিছু নাই,
 তোমার পূজায় সাহস এত তাই,
 যা আছে তাই পায়ের কাছে আনি
 অনাবৃত দরিদ্র এই প্রাণ।",Bengali,Longing
3302,"গায়ে আমার পুলক লাগে
 
 রবীন্দ্রনাথ ঠাকুর
 
 
 
 গায়ে আমার পুলক লাগে,
